id,name,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,loudness,valence
1F2Ca0Cfo7DcdieWlZEqzc,Ready to Start,0.931,0.0772,95.555,0.03,0.109,0.0289,4,0.464,6,-4.695,0.54
3OgQWZf19Ennv0SS5RmGz6,Suburban War,0.863,0.138,119.929,0.0362,0.114,0.206,3,0.312,5,-5.814,0.561
1UyNur2qvjxjpQKyYY3TLF,We Used to Wait,0.657,0.106,120.743,0.0276,0.0737,0.0246,4,0.572,8,-7.24,0.474
3yl7bdAZKhCE3Dxgl2lzIb,Speaking in Tongues (feat. David Byrne),0.677,0.0805,146.009,0.0268,0.00737,0.407,4,0.581,6,-7.924,0.487
3LBBeej1zGctWlJNpNa4I6,Hip Hop Kids,0.782,0.38,94.995,0.0363,0.0108,0,4,0.433,9,-6.359,0.492
4WMuY659P2MKnoW40oGXe8,Purple Yellow Red and Blue,0.859,0.144,101.003,0.0397,0.0351,0.331,4,0.601,4,-6.311,0.436
7iOyMOxdOULvXqUqC26spJ,Modern Jesus,0.633,0.216,85.999,0.0305,0.133,7.07e-05,4,0.627,10,-7.41,0.778
633TjzvG2smpc0aYgN9Xkd,Evil Friends,0.961,0.159,149.924,0.192,0.000961,0.000514,4,0.317,0,-6.748,0.194
7oK9VyNzrYvRFo7nQEYkWN,Mr. Brightside,0.936,0.0926,148.112,0.0917,0.00108,0,4,0.33,1,-3.66,0.218
25r99eqlm3lHGnZHoeg7YX,Supersymmetry,0.333,0.344,107.847,0.0704,0.802,0.854,4,0.398,8,-17.529,0.237
32vKYtEqMhQUL4nWmIUjm0,Abraham's Daughter,0.588,0.102,142.036,0.0324,0.102,0.349,4,0.534,4,-10.589,0.232
5hqN2hUc0FdCSwdgDVFJtr,In the Backseat,0.543,0.0696,170.046,0.031,0.463,0.0537,4,0.326,7,-10.02,0.212
5ubUprLRov5UPDCS2UP4cb,Spaceman,0.918,0.123,151.979,0.059,0.00198,0.000677,4,0.517,4,-3.957,0.811
4Gmgt1LoRlOebjBu1QIsSi,Pioneers,0.686,0.0504,129.964,0.0301,0.148,0.00309,4,0.734,0,-7.778,0.581
4j4pPKE3xAblPIbhxScC1j,Rawnald Gregory Erickson the Second,0.538,0.287,95.508,0.0343,0.229,0.843,4,0.9,7,-7.879,0.73
3jfr0TF6DQcOLat8gGn7E2,Do I Wanna Know?,0.532,0.217,85.03,0.0323,0.186,0.000263,4,0.548,5,-7.596,0.428
5iW1BuP8SARrIz6rmSdibY,Fader,0.748,0.0791,134.963,0.0348,8.3e-05,0.601,4,0.533,11,-7.041,0.187
0MnVD7YNcPKiqayEUBDnve,Amsterdam,0.831,0.655,96.914,0.0472,0.128,0.00227,4,0.681,2,-4.32,0.757
36wcMUejPzrAt5YgWC3VgJ,Dystopia (The Earth is on Fire),0.625,0.23,99.945,0.0262,0.0785,1.72e-05,4,0.756,0,-6.51,0.867
4wj53ItvfETfYRs4zzmiPC,Isabella of Castile,0.751,0.239,82.991,0.0343,0.00403,0.69,4,0.488,10,-6.243,0.177
0uToUBdWqByF1JpHpexvKx,Psychic City - Classixx Remix,0.573,0.064,110.01,0.0396,0.0414,0.000161,4,0.892,2,-7.157,0.841
36lqt57OHqk48BVFzPDEKt,Midnight City,0.752,0.0682,105.051,0.0369,0.0191,0,4,0.521,11,-5.374,0.288
4uf5rm43PiWhKjwytMwmAc,People Say,0.755,0.784,159.995,0.03,0.0245,1.18e-05,4,0.516,0,-5.926,0.649
2nMeu6UenVvwUktBCpLMK9,Young And Beautiful,0.425,0.11,108.693,0.0372,0.271,3.09e-05,4,0.307,11,-8.924,0.136
1TogTbSn3xkbapb6OUxRvq,Gods & Monsters,0.736,0.291,189.733,0.0708,0.0018,7.55e-06,4,0.357,8,-6.431,0.354
46MlVmtQ2B9qXQeM5qJIhr,Someday Believers,0.828,0.644,85.008,0.0409,0.0062,6.68e-05,4,0.509,7,-5.069,0.549
2zhXf2DDA8AbPPmbIVPL43,Sea of Air,0.33,0.128,80.072,0.0262,0.805,1.86e-05,4,0.606,0,-13.401,0.262
77hY8WQ9bgSXaAH5jmgzHN,The Mother We Share,0.724,0.289,173.996,0.0395,0.0227,4.16e-06,4,0.44,1,-4.111,0.241
06GlpLlhD7cND9L6BWW3yV,It’s Never Over (Hey Orpheus),0.728,0.128,105.311,0.0553,0.0731,0.599,4,0.609,7,-10.309,0.216
09zDgbs5NQH1kKFXHppYhr,October,0.627,0.0923,143.996,0.0276,0.123,3.68e-06,4,0.546,6,-5.091,0.407
